R64,R32,S16,E8,F4,NCG
5West Virginia-83.50%,5West Virginia-49.10%,5West Virginia-10.70%,5West Virginia-5.80%,5West Virginia-1.80%,5West Virginia-0.80%
3Texas Tech-86.20%,3Texas Tech-55.40%,3Texas Tech-19.00%,3Texas Tech-4.60%,3Texas Tech-1.40%,3Texas Tech-0.60%
5Ohio State-76.90%,5Ohio State-24.30%,5Ohio State-8.60%,5Ohio State-2.60%,5Ohio State-1.00%,5Ohio State-0.50%
4Wichita State-86.80%,4Wichita State-43.10%,4Wichita State-7.60%,4Wichita State-3.80%,4Wichita State-1.20%,4Wichita State-0.50%
6Florida-81.30%,6Florida-35.10%,6Florida-10.90%,6Florida-2.30%,6Florida-0.80%,6Florida-0.40%
4Auburn-87.40%,4Auburn-50.70%,4Auburn-10.20%,4Auburn-2.70%,4Auburn-1.00%,4Auburn-0.40%
9Alabama-50.10%,9Alabama-5.90%,9Alabama-3.00%,9Alabama-1.50%,9Alabama-0.60%,9Alabama-0.30%
5Clemson-72.20%,5Clemson-35.50%,5Clemson-6.60%,5Clemson-1.70%,5Clemson-0.70%,5Clemson-0.30%
10Oklahoma-49.60%,10Oklahoma-7.10%,10Oklahoma-2.60%,10Oklahoma-1.20%,10Oklahoma-0.60%,10Oklahoma-0.30%
9North Carolina State-52.50%,9North Carolina State-6.30%,9North Carolina State-3.00%,9North Carolina State-0.80%,9North Carolina State-0.40%,9North Carolina State-0.20%
8Virginia Tech-49.90%,8Virginia Tech-4.50%,8Virginia Tech-2.00%,8Virginia Tech-0.90%,8Virginia Tech-0.30%,8Virginia Tech-0.20%
8Missouri-53.60%,8Missouri-10.00%,8Missouri-3.80%,8Missouri-1.10%,8Missouri-0.40%,8Missouri-0.20%
7Arkansas-42.20%,7Arkansas-7.60%,7Arkansas-3.00%,7Arkansas-0.70%,7Arkansas-0.30%,7Arkansas-0.20%
6Miami-66.30%,6Miami-24.10%,6Miami-8.90%,6Miami-1.30%,6Miami-0.50%,6Miami-0.20%
6Houston-66.90%,6Houston-16.80%,6Houston-4.70%,6Houston-1.70%,6Houston-0.50%,6Houston-0.20%
16Penn-4.40%,16Penn-2.00%,16Penn-1.10%,16Penn-0.60%,16Penn-0.40%,16Penn-0.20%
10Texas-54.60%,10Texas-11.40%,10Texas-4.00%,10Texas-0.80%,10Texas-0.30%,10Texas-0.20%
10Butler-57.80%,10Butler-11.70%,10Butler-5.30%,10Butler-1.10%,10Butler-0.40%,10Butler-0.20%
9Kansas State-43.50%,9Kansas State-3.80%,9Kansas State-1.20%,9Kansas State-0.60%,9Kansas State-0.20%,9Kansas State-0.10%
9Florida State-46.40%,9Florida State-6.60%,9Florida State-2.20%,9Florida State-0.70%,9Florida State-0.30%,9Florida State-0.10%
8Seton Hall-47.50%,8Seton Hall-5.10%,8Seton Hall-2.50%,8Seton Hall-0.60%,8Seton Hall-0.20%,8Seton Hall-0.10%
8Creighton-56.50%,8Creighton-4.20%,8Creighton-1.40%,8Creighton-0.60%,8Creighton-0.20%,8Creighton-0.10%
7Rhode Island-50.40%,7Rhode Island-7.00%,7Rhode Island-2.00%,7Rhode Island-0.80%,7Rhode Island-0.30%,7Rhode Island-0.10%
7Texas A&M-50.50%,7Texas A&M-6.10%,7Texas A&M-2.20%,7Texas A&M-0.80%,7Texas A&M-0.30%,7Texas A&M-0.10%
7Nevada-45.50%,7Nevada-8.30%,7Nevada-2.90%,7Nevada-0.50%,7Nevada-0.20%,7Nevada-0.10%
6TCU-76.10%,6TCU-11.40%,6TCU-2.80%,6TCU-0.90%,6TCU-0.30%,6TCU-0.10%
16UMBC-3.00%,16UMBC-1.40%,16UMBC-0.80%,16UMBC-0.60%,16UMBC-0.30%,16UMBC-0.10%
16Radford-2.80%,16Radford-1.30%,16Radford-0.80%,16Radford-0.50%,16Radford-0.20%,16Radford-0.10%
16Texas Southern-2.90%,16Texas Southern-1.30%,16Texas Southern-0.80%,16Texas Southern-0.50%,16Texas Southern-0.20%,16Texas Southern-0.10%
15Lipscomb-3.80%,15Lipscomb-1.80%,15Lipscomb-1.00%,15Lipscomb-0.30%,15Lipscomb-0.10%,15Lipscomb-0.10%
15Iona-3.70%,15Iona-1.60%,15Iona-0.90%,15Iona-0.30%,15Iona-0.10%,15Iona-0.10%
15Georgia State-6.70%,15Georgia State-2.60%,15Georgia State-1.20%,15Georgia State-0.30%,15Georgia State-0.10%,15Georgia State-0.10%
15CSU Fullerton-4.00%,15CSU Fullerton-1.70%,15CSU Fullerton-1.00%,15CSU Fullerton-0.30%,15CSU Fullerton-0.10%,15CSU Fullerton-0.10%
14Wright State-8.90%,14Wright State-2.70%,14Wright State-0.70%,14Wright State-0.20%,14Wright State-0.10%,14Wright State-0.10%
14Stephen F. Austin-13.80%,14Stephen F. Austin-4.40%,14Stephen F. Austin-0.90%,14Stephen F. Austin-0.30%,14Stephen F. Austin-0.10%,14Stephen F. Austin-0.10%
14Montana-6.20%,14Montana-2.20%,14Montana-0.60%,14Montana-0.30%,14Montana-0.10%,14Montana-0.10%
14Bucknell-5.70%,14Bucknell-2.40%,14Bucknell-0.60%,14Bucknell-0.30%,14Bucknell-0.10%,14Bucknell-0.10%
13Marshall-13.20%,13Marshall-3.50%,13Marshall-0.80%,13Marshall-0.30%,13Marshall-0.10%,13Marshall-0.10%
13Charleston-12.60%,13Charleston-3.40%,13Charleston-0.70%,13Charleston-0.30%,13Charleston-0.10%,13Charleston-0.10%
13Buffalo-9.10%,13Buffalo-2.80%,13Buffalo-0.70%,13Buffalo-0.30%,13Buffalo-0.10%,13Buffalo-0.10%
12South Dakota State-23.10%,12South Dakota State-3.60%,12South Dakota State-0.90%,12South Dakota State-0.30%,12South Dakota State-0.20%,12South Dakota State-0.10%
12New Mexico State-27.80%,12New Mexico State-10.40%,12New Mexico State-1.30%,12New Mexico State-0.40%,12New Mexico State-0.20%,12New Mexico State-0.10%
12Murray State-16.50%,12Murray State-4.30%,12Murray State-0.70%,12Murray State-0.30%,12Murray State-0.10%,12Murray State-0.10%
12Davidson-19.60%,12Davidson-4.80%,12Davidson-1.00%,12Davidson-0.40%,12Davidson-0.20%,12Davidson-0.10%
11St. Bonaventure-18.70%,11St. Bonaventure-5.10%,11St. Bonaventure-1.10%,11St. Bonaventure-0.30%,11St. Bonaventure-0.10%,11St. Bonaventure-0.10%
11San Diego State-33.10%,11San Diego State-5.80%,11San Diego State-1.30%,11San Diego State-0.40%,11San Diego State-0.20%,11San Diego State-0.10%
11Loyola Chicago-33.70%,11Loyola Chicago-8.80%,11Loyola Chicago-1.80%,11Loyola Chicago-0.40%,11Loyola Chicago-0.20%,11Loyola Chicago-0.10%
11Syracuse-23.90%,11Syracuse-3.20%,11Syracuse-1.00%,11Syracuse-0.40%,11Syracuse-0.20%,11Syracuse-0.10%
10Providence-49.50%,10Providence-6.20%,10Providence-2.00%,10Providence-0.70%,10Providence-0.30%,10Providence-0.10%
13UNC Greensboro-7.00%,13UNC Greensboro-2.40%,13UNC Greensboro-0.70%,13UNC Greensboro-0.30%,13UNC Greensboro-0.10%,13UNC Greensboro-0.00%
