R64,R32,S16,E8,F4,NCG
4Virginia-82.1%,5Duke-47.2%,6Kentucky-15.7%,4Indiana-5.8%,4Indiana-2.1%,6Kentucky-0.9%
5Duke-81.4%,4Tennessee-42.7%,4Indiana-13.1%,6Kentucky-4.8%,4Virginia-2.0%,3Kansas St-0.8%
4Indiana-79.0%,6Kentucky-35.7%,6Creighton-11.9%,4Virginia-4.8%,6Kentucky-1.8%,4Virginia-0.8%
6Iowa State-73.3%,5Miami-33.5%,4Virginia-11.4%,5Miami-3.5%,6Creighton-1.2%,5Miami-0.5%
6Kentucky-70.0%,5San Diego St-31.1%,5Miami-8.9%,6Creighton-3.2%,5Miami-1.1%,7Michigan St-0.4%
5Miami-69.8%,6Creighton-29.6%,7Texas A&M-8.5%,7Texas A&M-2.7%,7Texas A&M-0.9%,6Creighton-0.4%
5San Diego St-68.4%,6Iowa State-28.3%,6TCU-8.2%,8Memphis-2.6%,7Michigan St-0.9%,7Texas A&M-0.4%
8Memphis-66.6%,5Saint Mary's-24.9%,6Iowa State-7.8%,6TCU-2.5%,6TCU-0.8%,8Memphis-0.4%
6Creighton-66.5%,6TCU-22.9%,7Michigan St-7.7%,7Michigan St-2.3%,8Memphis-0.8%,8Arkansas-0.3%
5Saint Mary's-65.5%,7Michigan St-17.5%,5Saint Mary's-6.3%,5Saint Mary's-2.2%,5San Diego St-0.8%,6TCU-0.3%
7Michigan St-59.9%,7Texas A&M-15.5%,8Memphis-6.1%,5San Diego St-2.1%,5Saint Mary's-0.7%,5San Diego St-0.3%
7Texas A&M-58.1%,8Memphis-15.5%,5San Diego St-5.5%,6Iowa State-2.0%,8Arkansas-0.7%,5Saint Mary's-0.3%
7Northwestern-57.5%,11Providence-11.0%,8Arkansas-4.6%,8Arkansas-1.7%,6Iowa State-0.6%,6Iowa State-0.3%
7Missouri-55.5%,7Missouri-10.8%,10Penn State-4.4%,10Penn State-1.4%,9Auburn-0.5%,10Penn State-0.3%
8Arkansas-54.4%,12Charleston-10.8%,7Missouri-3.9%,9Auburn-1.4%,10Penn State-0.5%,9Auburn-0.2%
9Auburn-52.9%,12Drake-10.4%,9Auburn-3.6%,8Iowa-1.1%,7Missouri-0.4%,7Missouri-0.2%
9West Virginia-51.0%,10Penn State-9.7%,10USC-3.2%,7Missouri-1.1%,9West Virginia-0.4%,9West Virginia-0.2%
8Maryland-49.0%,7Northwestern-9.7%,11Providence-3.1%,8Maryland-1.1%,8Maryland-0.4%,9Illinois-0.2%
8Iowa-47.1%,8Arkansas-9.6%,7Northwestern-3.0%,9Illinois-1.0%,9Illinois-0.4%,8Maryland-0.2%
9Illinois-45.7%,11NC State-9.4%,8Iowa-3.0%,9West Virginia-1.0%,8Iowa-0.4%,8Iowa-0.2%
10Utah State-44.5%,10USC-9.1%,9Illinois-2.9%,7Northwestern-1.0%,7Northwestern-0.3%,11NC State-0.2%
10Boise St-42.5%,12VCU-8.5%,11NC State-2.8%,10USC-0.9%,12Oral Roberts-0.3%,12Oral Roberts-0.2%
10Penn State-41.9%,9Auburn-7.9%,8Maryland-2.6%,11NC State-0.8%,11NC State-0.3%,16Howard-0.2%
10USC-40.2%,10Utah State-7.7%,9West Virginia-2.6%,11Providence-0.8%,10USC-0.3%,7Northwestern-0.1%
12VCU-34.5%,11Pittsburgh-7.5%,10Utah State-2.5%,12Oral Roberts-0.8%,9Florida Atlantic-0.3%,10USC-0.1%
11NC State-33.5%,13Kent State-7.4%,12Oral Roberts-1.9%,9Florida Atlantic-0.7%,11Providence-0.3%,11Providence-0.1%
9Florida Atlantic-33.4%,12Oral Roberts-7.1%,9Florida Atlantic-1.8%,10Utah State-0.6%,16Howard-0.3%,9Florida Atlantic-0.1%
12Charleston-31.6%,9Illinois-6.8%,10Boise St-1.8%,12Drake-0.6%,16Texas A&M Corpus Christi-0.2%,10Utah State-0.1%
12Drake-30.2%,8Iowa-6.8%,12Drake-1.7%,10Boise St-0.6%,10Utah State-0.2%,11Pittsburgh-0.1%
11Providence-30.0%,10Boise St-5.9%,11Pittsburgh-1.6%,12Charleston-0.6%,10Boise St-0.2%,12Charleston-0.1%
11Pittsburgh-26.7%,13Furman-5.6%,12VCU-1.6%,16Howard-0.5%,12Charleston-0.2%,12Drake-0.1%
13Kent State-21.0%,13Iona-5.5%,12Charleston-1.5%,12VCU-0.5%,16Northern Kentucky-0.2%,16Northern Kentucky-0.1%
12Oral Roberts-18.6%,8Maryland-5.4%,13Kent State-1.3%,16Northern Kentucky-0.5%,12Drake-0.2%,10Boise St-0.1%
13Furman-17.9%,9West Virginia-5.4%,15Colgate-1.2%,11Pittsburgh-0.5%,11Pittsburgh-0.2%,16Texas A&M Corpus Christi-0.1%
11Arizona State-17.0%,9Florida Atlantic-5.3%,15Vermont-1.2%,16Texas A&M Corpus Christi-0.5%,12VCU-0.2%,12VCU-0.1%
13Iona-14.3%,11Arizona State-3.5%,13Iona-1.2%,16Fairleigh Dickinson-0.4%,16Fairleigh Dickinson-0.2%,11Arizona State-0.1%
13Louisiana-13.7%,14Kennesaw St-3.2%,15Princeton-1.2%,13Kent State-0.4%,13Kent State-0.2%,13Furman-0.1%
14Montana St-10.6%,14UCSB-3.1%,15UNC Asheville-1.0%,15Princeton-0.4%,15UNC Asheville-0.2%,13Kent State-0.1%
14UCSB-9.7%,13Louisiana-3.0%,11Arizona State-1.0%,15Colgate-0.4%,15Princeton-0.2%,14Kennesaw St-0.1%
14Kennesaw St-9.4%,14Montana St-2.9%,13Furman-1.0%,13Iona-0.4%,15Vermont-0.2%,14Grand Canyon-0.1%
15Vermont-8.1%,15Vermont-2.9%,16Howard-1.0%,15Vermont-0.4%,15Colgate-0.2%,15Princeton-0.1%
14Grand Canyon-7.5%,14Grand Canyon-2.8%,14UCSB-0.9%,11Arizona State-0.4%,11Arizona State-0.2%,15Colgate-0.1%
15Colgate-6.8%,15Princeton-2.7%,16Northern Kentucky-0.9%,13Furman-0.4%,13Furman-0.2%,15UNC Asheville-0.1%
15Princeton-6.4%,15Colgate-2.6%,14Grand Canyon-0.9%,15UNC Asheville-0.4%,13Iona-0.2%,16Fairleigh Dickinson-0.1%
15UNC Asheville-5.7%,15UNC Asheville-2.4%,13Louisiana-0.9%,14Grand Canyon-0.4%,14Grand Canyon-0.2%,13Louisiana-0.1%
16Northern Kentucky-4.2%,16Howard-1.8%,14Montana St-0.9%,13Louisiana-0.3%,13Louisiana-0.1%,13Iona-0.1%
16Howard-4.1%,16Northern Kentucky-1.8%,14Kennesaw St-0.9%,14Kennesaw St-0.3%,14UCSB-0.1%,14UCSB-0.1%
16Fairleigh Dickinson-3.5%,16Fairleigh Dickinson-1.5%,16Texas A&M Corpus Christi-0.8%,14UCSB-0.3%,14Kennesaw St-0.1%,14Montana St-0.1%
16Texas A&M Corpus Christi-3.2%,16Texas A&M Corpus Christi-1.4%,16Fairleigh Dickinson-0.8%,14Montana St-0.3%,14Montana St-0.1%,15Vermont-0.1%
