R64,R32,S16,E8,F4,NCG
7Nevada-50.40%,7Nevada-11.20%,7Nevada-5.30%,7Nevada-1.70%,7Nevada-0.40%,7Nevada-0.20%
7Wofford-52.90%,7Wofford-8.30%,7Wofford-3.60%,7Wofford-1.10%,7Wofford-0.40%,7Wofford-0.20%
10Iowa-32.80%,10Iowa-4.70%,10Iowa-1.50%,10Iowa-0.50%,10Iowa-0.20%,10Iowa-0.10%
10Minnesota-33.20%,10Minnesota-3.80%,10Minnesota-1.40%,10Minnesota-0.40%,10Minnesota-0.20%,10Minnesota-0.10%
10Seton Hall-47.10%,10Seton Hall-5.40%,10Seton Hall-2.10%,10Seton Hall-0.60%,10Seton Hall-0.20%,10Seton Hall-0.10%
11Arizona State-19.70%,11Arizona State-3.90%,11Arizona State-0.90%,11Arizona State-0.30%,11Arizona State-0.10%,11Arizona State-0.10%
11Belmont-23.30%,11Belmont-6.60%,11Belmont-0.90%,11Belmont-0.30%,11Belmont-0.10%,11Belmont-0.10%
11Saint Mary's-22.80%,11Saint Mary's-7.50%,11Saint Mary's-1.70%,11Saint Mary's-0.60%,11Saint Mary's-0.20%,11Saint Mary's-0.10%
12Liberty-25.00%,12Liberty-5.30%,12Liberty-0.70%,12Liberty-0.30%,12Liberty-0.10%,12Liberty-0.10%
12New Mexico St-17.80%,12New Mexico St-5.90%,12New Mexico St-1.00%,12New Mexico St-0.40%,12New Mexico St-0.10%,12New Mexico St-0.10%
13Northeastern-10.20%,13Northeastern-2.80%,13Northeastern-0.70%,13Northeastern-0.30%,13Northeastern-0.10%,13Northeastern-0.10%
13Saint Louis-12.70%,13Saint Louis-4.90%,13Saint Louis-0.70%,13Saint Louis-0.30%,13Saint Louis-0.10%,13Saint Louis-0.10%
13UC Irvine-18.20%,13UC Irvine-5.80%,13UC Irvine-1.10%,13UC Irvine-0.40%,13UC Irvine-0.20%,13UC Irvine-0.10%
13Vermont-11.40%,13Vermont-3.70%,13Vermont-0.80%,13Vermont-0.30%,13Vermont-0.10%,13Vermont-0.10%
14Georgia State-9.10%,14Georgia State-2.90%,14Georgia State-0.70%,14Georgia State-0.30%,14Georgia State-0.10%,14Georgia State-0.10%
14Northern Kentucky-8.30%,14Northern Kentucky-2.90%,14Northern Kentucky-0.70%,14Northern Kentucky-0.30%,14Northern Kentucky-0.10%,14Northern Kentucky-0.10%
14Old Dominion-10.20%,14Old Dominion-2.90%,14Old Dominion-0.70%,14Old Dominion-0.30%,14Old Dominion-0.10%,14Old Dominion-0.10%
14Yale-15.00%,14Yale-5.40%,14Yale-1.00%,14Yale-0.40%,14Yale-0.20%,14Yale-0.10%
15Abilene Christian-3.70%,15Abilene Christian-1.80%,15Abilene Christian-1.00%,15Abilene Christian-0.30%,15Abilene Christian-0.20%,15Abilene Christian-0.10%
15Bradley-4.20%,15Bradley-1.90%,15Bradley-1.10%,15Bradley-0.30%,15Bradley-0.10%,15Bradley-0.10%
15Colgate-4.30%,15Colgate-1.90%,15Colgate-1.10%,15Colgate-0.30%,15Colgate-0.10%,15Colgate-0.10%
15Montana-4.40%,15Montana-1.80%,15Montana-1.10%,15Montana-0.30%,15Montana-0.10%,15Montana-0.10%
16Fairleigh Dickinson-2.90%,16Fairleigh Dickinson-1.30%,16Fairleigh Dickinson-0.80%,16Fairleigh Dickinson-0.60%,16Fairleigh Dickinson-0.20%,16Fairleigh Dickinson-0.10%
16North Dakota State-2.40%,16North Dakota State-1.20%,16North Dakota State-0.80%,16North Dakota State-0.60%,16North Dakota State-0.30%,16North Dakota State-0.10%
5Mississippi St-75.00%,5Mississippi St-24.20%,5Mississippi St-1.90%,5Mississippi St-0.70%,5Mississippi St-0.30%,5Mississippi St-0.10%
8Ole Miss-51.70%,8Ole Miss-4.10%,8Ole Miss-1.70%,8Ole Miss-0.50%,8Ole Miss-0.20%,8Ole Miss-0.10%
8Utah State-50.60%,8Utah State-3.10%,8Utah State-1.30%,8Utah State-0.50%,8Utah State-0.20%,8Utah State-0.10%
8VCU-46.40%,8VCU-2.00%,8VCU-0.90%,8VCU-0.40%,8VCU-0.20%,8VCU-0.10%
9Baylor-31.60%,9Baylor-3.70%,9Baylor-1.50%,9Baylor-0.60%,9Baylor-0.20%,9Baylor-0.10%
9Oklahoma-48.30%,9Oklahoma-4.50%,9Oklahoma-1.80%,9Oklahoma-0.60%,9Oklahoma-0.20%,9Oklahoma-0.10%
9UCF-53.60%,9UCF-2.30%,9UCF-1.00%,9UCF-0.40%,9UCF-0.20%,9UCF-0.10%
9Washington-49.40%,9Washington-3.00%,9Washington-1.30%,9Washington-0.50%,9Washington-0.30%,9Washington-0.10%
